Author,Comment,Like_Count,Published_At
@lale_ilkem91,HOCAM ADAMSINIZ .,0,2024-11-11T16:07:37Z
@Hykie35,son soru çok zordu 3 kere izledim yine anlamadım,0,2024-11-09T14:55:57Z
@elfiann_25,galiba bu sefer anladım inş,1,2024-11-07T20:48:54Z
@ozjk3,"tek ya da çift dereceli terimlerin toplamında p(1)ve p(-1) olması gerekmekte değil midir <a href=""https://www.youtube.com/watch?v=Po09E7MDf-w&amp;t=170"">2:50</a>",0,2024-11-01T14:10:56Z
@zeyy359,20 dk lık polinomu 2x de izlerken benim yüzsüzlük,20,2024-10-23T11:02:41Z
@gnayniw2446,"Hocam bölümü kazandım da, şimdi üni deki math quizi için gelip bakıyorum. Ünide de olsak gene lazım oluyor videolarınız",0,2024-10-22T14:28:55Z
@-titanarum-9386,"<a href=""https://www.youtube.com/watch?v=Po09E7MDf-w&amp;t=469"">7:49</a> da 2.dereceden denkleme göre -b/a yaptı ama 3. Dereceden bir denklem bu",0,2024-10-19T18:57:34Z
@bruhbruh3386,"<a href=""https://www.youtube.com/watch?v=Po09E7MDf-w&amp;t=329"">05:29</a> cevap 10x-10 değil mi",0,2024-09-30T08:34:04Z
@bruhbruh3386,"<a href=""https://www.youtube.com/watch?v=Po09E7MDf-w&amp;t=231"">03:51</a> +3-10 nasıl 13 oldu anlamadım",0,2024-09-29T07:56:09Z
@hymnforthenature,Mezunlara selam 👋,1,2024-09-21T05:56:50Z
@NarinYıldırım-r7w,"<a href=""https://www.youtube.com/watch?v=Po09E7MDf-w&amp;t=319"">5:19</a> dakika beş gol bir😂",0,2024-09-16T17:41:57Z
@zehracigdeem,yine buraya geldim,0,2024-09-03T20:04:57Z
@herus2854,sizi instagramdan 4-5 aydır takip ediyorum ama cıvık bir hocadır derslerde laylaylom yapar diye önyargılarım vardı hepsini kırdınız hocam polinom sorularını yapabilmeye başladım ALLAH razı olsun,2,2024-08-31T18:06:12Z
@kuzeydumanci,sağolun hocam tekrardan matematiğin neden zor bir ders olduğunu idrak ettim,0,2024-08-25T18:01:49Z
@burakturkmen4744,Hocam hangisi tyt hangisi ayt düzeyde olduğunu keşke yazdaydınız bazılarını bana çok karışık geldi,0,2024-07-27T20:53:31Z
@furkanpalabyk3664,7.dakikadaki soruda X1 + X2 + (-3) neden a&#39;ya eşit oldu?,0,2024-06-15T17:12:28Z
@balik_adamm,"Sınav gecesi saat <a href=""https://www.youtube.com/watch?v=Po09E7MDf-w&amp;t=11"">00:11</a> ilk defa baktım polinomlara sonucu yazarim 😂",2,2024-06-08T21:12:22Z
@buraktuncer9189,Yavaştan başlayalım,13,2024-06-08T18:04:54Z
@yorickmain,yavaştan izlemenin vakti geldi,3,2024-06-08T04:31:32Z
@wgoaki,"dilci olarak calismadigim bir bu konu kalmisti, calissam da anlamazmisim zaten🥲(hocam siz cok guzel anlatmissiniz, agziniza saglik😊sikinti bende yanlis anlasilmasin)",1,2024-06-06T12:58:55Z
@Mezunspiderman_yks25,Son 2 ya hakk!!!!!,4,2024-06-05T00:26:35Z
@gokyuzundecizikler2165,hocam polinomları sayenizde anladım allah razı olsun çok iyi anlatıyosunuz öğrenme garantili bütün videolarınız çok iyi 🫶🏻🫶🏻,3,2024-06-03T11:20:02Z
@hazalsahi7903,Hocam sağolun sınava 6 gün kala polinomlarıda hallettim çok şükür,32,2024-06-01T20:34:55Z
@n4z0ws,matematik ogrendim turkce unuttum,15,2024-05-27T13:44:41Z
@legolaskarahanli,son 16,2,2024-05-23T12:16:47Z
@alikemalgundogdu8740,kral 1saatte ayt mat videosu çekse anlamazsak namertim,75,2024-05-17T09:36:38Z
@yasincetinkaya32983,🤲,1,2024-05-17T05:48:39Z
@KaliteliLahmacun,"<a href=""https://www.youtube.com/watch?v=Po09E7MDf-w&amp;t=844"">14:04</a> hatırlatın lütfen",33,2024-05-13T11:12:48Z
